,0
286,-0.3975375772728549
287,-0.412316160830737
288,-0.4270429940215188
289,-0.44182157757940094
290,-0.4565825439910361
291,-0.47136112754891824
292,-0.4862949622081014
293,-0.5010041782526362
294,-0.5157651446642714
295,-0.5305095950013001
296,-0.5452705614129353
297,-0.5601526457050181
298,-0.5748794788957998
299,-0.5896063120865817
300,-0.6043496613519699
301,-0.6192317456440526
302,-0.6339761959810815
303,-0.6487195452464697
304,-0.6634816127297454
305,-0.6782590952159869
306,-0.6930552959201159
307,-0.7077997462571448
308,-0.7226289791104867
309,-0.737321679080415
310,-0.7520661294174438
311,-0.766844712975326
312,-0.7815880622407142
313,-0.7963490286523494
314,-0.811093478989378
315,-0.8259061957681136
316,-0.8407189125468492
317,-0.8554809800301247
318,-0.8702419464417599
319,-0.8849852957071482
320,-0.89971212889793
321,-0.9144741963812056
322,-0.9292692960136942
323,-0.9440478795715762
324,-0.9587923299086051
325,-0.9735532963202402
326,-0.988280129511022
327,-1.002989345555557
328,-1.0177855462596859
329,-1.0324782462296143
330,-1.0472733458621029
331,-1.0621036797870853
332,-1.0768822633449675
333,-1.0916608469028495
334,-1.1064218133144847
335,-1.121165162579873
336,-1.135978980430249
337,-1.150722329695637
338,-1.1655185303997662
339,-1.1803136300322548
340,-1.1951263468109903
341,-1.2099566807359727
342,-1.2247528814401019
343,-1.23949623070549
344,-1.254292431409619
345,-1.2690710149675013
346,-1.283780231012036
347,-1.2985070642028178
348,-1.3132162802473526
349,-1.3279948638052348
350,-1.342791064509364
351,-1.3575861641418523
352,-1.3723823648459816
353,-1.3871433312576167
354,-1.4019042976692517
355,-1.4168898826955354
356,-1.4317367326951242
357,-1.4466353330618134
358,-1.4616033009418499
359,-1.476519518454786
360,-1.4914874863348224
361,-1.506437837068612
362,-1.5214399381695018
363,-1.5364068049778978
364,-1.5513923900041813
365,-1.5663427407379709
366,-1.5815000929401617
367,-1.5965880776290053
368,-1.6116760623178488
369,-1.6267981802275457
370,-1.6418344145492891
371,-1.6569576335306264
372,-1.6720797514403234
373,-1.687185353275414
374,-1.7022733379642574
375,-1.717378939799348
376,1.33962645305208
377,1.3293380396438808
378,1.313681901988574
379,1.2989892020186455
380,1.2842976031203577
381,1.2695872860041824
382,1.2549463364013542
383,1.2402547375030664
384,1.2255961707539913
385,1.2108869547094565
386,1.1961601215186748
387,1.1815191719158467
388,1.1668264719459183
389,1.1520996387551363
